"TITLE  5,407",COMPOSER,ARR./ED./TRANS./ADAPT.,PMEA GRADE LEVEL,PUBLISHER ,# SOURCE LISTS,OOP/POD/RENTAL
"Crossings, The","Sheldon, Robert",,2,Barnhouse,1,
Crosslands	,"Galante, Rossano",,4,Hal Leonard,1,
Crossroads,"Oare, Michael",,3,Hal Leonard,1,
Crown and Scepter,"Del Borgo, Elliot",,1,Kjos,1,
Crown of Thorns,"Giroux, Julie",,3,Southern,1,
Crown Point Celebration,"McGinty, Anne",,3,Southern,1,
Crusade,"Gassi, Vince", ,1,Alfred,3,
Crusader's Hymn,"Ployhar, James",,2,Belwin,3,OOP
Crush,"Smith, Robert W.",,3,Barnhouse,1,
Cry of the Last Unicorn,"Galante, Rossano",,5,Hal Leonard/Associated,2,
Crystal Moon,"Clark, Larry",,2,Carl Fischer,1,
Crystalline,"Clark, Larry",,2,Carl Fischer,1,
Crystals,"Duffy, Thomas", ,4,Ludwig,3,
Cuban Overture,"Gershwin, George","Rogers, Mark",6,Warner Bros.,3,
Cuernavaca,Jenkins ,,5,Hal Leonard,1,
Culloden,"Giroux, Julie", ,5,Musica Propria,3,
Cumberland Cross,"Strommen, Carl", ,3,Alfred,6,
Cumberland Falls Overture,"Karrick, Brant",,4,Daehn,1,
Curtain in the Sky,"Langenfeld, Robert",,3,Grand Mesa,1,
"Cutting of the Hay, The","Grainger, Percy Aldridge","Wilson, B.",5,G. Schirmer,1,
Cycles+5439:5321:5459,"Zyman, Samuel",,6,Presser,2,
Cyclone,"Oare, Michael",,2,Hal Leonard,2,
Cyclorama,"McGinty, Anne",,3,Queenwood,1,
"Cypress Prelude, A","Lowry, Christopher",,5,Murphy,1,
Cyprian Suite,"Barnett, Carol",,4,Boosey & Hawkes,3,
Cyrstal City Overture,"Edmondson, John ",,2,Barnhouse,1,
Czech Masters Suite,Various,"Gordon, Philip",3,LudwigMasters/Marks,3,OOP
Czech Rhapsody,"Weinberger, Jaromir","Goldman, Richard",4,Presser,3,OOP
Czech Suite,"Whear, Paul",,3,LudwigMasters,3,
Da Vinci Sketches,"Morales, Erik",,3,FJH,1,
Dakota Fanfare,"Morales, Erik",,5,FJH,2,
"Dakota Rhapsody, A","Camphouse, Mark", ,5,Kjos,2,
Dance and Intermezzo,"Carter, Charles",,3,Kalmus,1,
Dance at the Lake of Miramor,"Kopetz, Barry",,2,FJH,1,
Dance Celebration,"Smith, Robert W.", ,1,Alfred/Belwin ,3,
Dance Celestiale,"Sheldon, Robert",,5,Barnhouse,1,
Dance Episodes,"Curnow, James",,2,Curnow,1,
Dance Movements,"Sparke, Philip",,6,Studio,4,
Dance of the Comedians,"Smetana, Bedrich","Brand, Geoffrey",6,Shawnee,1,
Dance of the Fir Darrig,"Carroll, Fergal",,2,Maecenas,2,
Dance of the Harlequins,"Clark, Larry",,3,Carl Fischer,1,
Dance of the Jester,"Molter, T.",,1,Barnhouse,1,
Dance of the Jesters,"Tchaikovsky, P.I. ","Cramer, Ray",5,Curnow,4,
Dance of the New World,"Wilson, Dana", ,6,Ludwig,4,
"Dance of the Seven Veils (from ""Salome"")","Strauss, Richard",Morita,6,Bravo,2,
Dance of the Tumblers,"Rimsky-Korsakov, Nicolai","Curnow, James",2,Hal Leonard,1,
Dance of the Tumblers,"Rimsky-Korsakov, Nicolai","Vosbein, Terry",5,Kjos,2,
Dance Overture,"McKay, Neil",,5,Shawnee ,1,OOP
Dance Prelude,"Smith, Claude T.",,6,Self,1,
Dance Rhythms for Band,"Riegger, Wallingford",,5,Hal Leonard,4,OOP
Dance Sinfonia,"Fisher, Dennis W.",,3,C. Alan,2,
Dance Styrienne,Barnes ,,5,Kendor,1,
Dance Suite for Band,"Corelli, Arcangelo","Suchoff, Benjamin",3,Bourne,1,Rental
"Dance Variations on a Theme (from ""Rodolynji"")","Sudduth, James", ,3,RBC,2,
Danceries,"Hesketh, Kenneth",,5,Faber,3,
Danceries Set II,"Hesketh, Kenneth",,6,Faber,1,
Dances for the Muse,"Chambers, Carol Brittin",,5,Excelcia,1,
"Dances from ""Terpischore""","Praetorius, Michael","Fenske, Katheryn",2,Daehn,4,
"Dances from ""The Morning of the Year""","Holst, Gustav","Brand, Geoffrey",5,Shawnee,1,
"Dances from ""The Oprichnik""","Tchaikovsky, P.I. ","Bourgeois, John R.",5,Wingert-Jones,1,
Dances from Crete,"Gorb, Adam",,5,Maecenas,1,
Dancing at Stonehenge,"Suter, Anthony", ,4,Southern/Daehn,5,
Dancing Day  ,"Colonna, Jim",,5,BandT,1,
"Dancing Day (Mvt. 1 from ""Symphony for Winds and Percussion"")","Downing, J.",,6,TRN,1,
Dancing Galaxy,"Thomas, Augusta Read",,6,G. Schirmer,2,
Dancing in Air,"Goto, Yo",,4,C. Alan,1,
Dancing in the Rain,"Goto, Yo",,3,C. Alan,2,
Dancing Kites,"Bernotas, Chris",,1,,2,
Dancing on Water,"Ticheli, Frank",,5,Manhattan Beach ,2,
Dancing Snakes,"Simon, Neil",,2,,1,
Dancing With the Wind,"Behrman, T.",,3,Barnhouse,1,
Danish Folk Music Suite ,"Grainger, Percy Aldridge","Kreines, Joseph",6,Kreines,1,
Danny the Brave Heart,"O'Reilly, John",,2,Alfred ,1,
Dansbury Run,"Sweeney, Michael",,1,Hal Leonard,1,
Danse,"Debussy, Claude","Boyd, John",5,Ludwig,1,
Danse Antiqua,"Sharp, Chris", ,1,FJH,4,
Danse Bacchanale,"Saint Saëns, Camille","Steiger, Leigh",5,Kjos,3,
Danse Bohemian,"Standridge, Randall",,3,Grand Mesa,1,
Danse Diabolique,"Hellmesberger, J.","Takahashi, T.",4,De Haske,2,
Danse Folatre,"Smith, Claude T.",,6,Wingert-Jones,1,
"Danse funambulesque, Op. 12","Strens, Jules",,6,C. Alan,2,
Danse Macabre,"Saint Saëns, Camille","Henderson, Kenneth",1,Kendor,1,OOP
Danse Macabre,"Saint Saëns, Camille","Hindsley, Mark",5,Hindsley Transcriptions,2,
Danse Pavane,"Cacavas, John", ,2,Bourne/Belwin,3,
Danse Slave,"Charbrier, Emmanuel","Odom, Lawrence",6,Kjos,4,
"Danserye, Selections from the (any 4 mvt.)","Susato, Tielman","Dunnigan, Patrick",5,LudwigMasters,4,
Danses de Fantaisie,"de Haan, Jacob", ,3,De Haske,1,
Danses Elegantes,"Telemann, Georg Philipp","Gordon, Philip",3,Presser,2,
Danses Sacred and Profane,"Hill, William H.",,6,Barnhouse,1,
Danza de Espana,"Chambers, Carol Brittin",,2,Carl Fischer,1,
Danza de los Duendes,"Galbraith, Nancy",,5,,2,
"Danza Final (from ""Estancia"")","Ginastera, Alberto","John, D.",6,Boosey & Hawkes,3,
Danza No. 2,"Marquez, Arturo",Nickel,5,Peer/Southern Organization,1,
Danza No. 2,"Yurko, Bruce",,4,LudwigMasters,2,
Danza Sinfonica,"Barnes, James",,5,Southern,1,
Danzas Cubanas,"Sheldon, Robert",,5,Alfred,1,
Danzetta,"Zaninelli, Luigi",,3,Shawnee,1,
Danzon,"Bernstein, Leonard","Krance, John",4,Harms,1,
Danzon Cubano,"Copland, Aaron","Megan, K.",5,Boosey & Hawkes,1,
Danzon No. 2,"Navarro, Arturo Marquez",Nickel,5,Peer/Southern Organization,3,
Dark Fortress Overture,"Grice, Rob",,2,Daehn,2,
Darkheart,"Standridge, Randall",,2,Grand Mesa,1,
"Darkness is Always Soft, The","Fraley, Ryan", ,5,FJH,3,
Das Pensionat (Overture to the Comic Opera),"von Suppe, Franz","Lake, Mayhew L./Paul Whear",3,Ludwig,1,
Daughter of the Stars (A Reminiscence on Shenandoah),"Benson, Warren",,5,Meredith,2,
David of the White Rock,"Sparke, Philip",,3,Anglo,1,
Dawn Dance,"Mixon, Kevin",,1,Carl Fischer,1,
Dawn over King's Valley,"Kamuf, Michael",,1,Hal Leonard,1,
Day Dreams,"Wilson, Dana",,6,Alfred,1,
"Day in the Country, A","Eveland, Dennis",,4,TRN,1,
Daydream,"Mahr, Timothy",,3,Kjos,3,
Daydreams,"Itoh, Takuma",,6,Self ,1,
Debbie's Dance,"Lendt, Gavin",,4,LendtMusik,1,
December Sky,"Morales, Erik",,2,FJH,1,
"Deck Thyself, My Soul, With Gladness","Bach, J.S.","Reed, Alfred",4,Barnhouse,1,
Declaration and Dance,"Clark, Larry",,2,Belwin,1,
Declaration and Dance,"Owens, William",,4,FJH,1,
Declaration and Flourish,"Vaughan Williams, Ralph",Smith,3,Belwin,1,
Declaration and Song,"Jordan, Robert", ,3,TRN,1,
Declaration Overture,"Smith, Claude T.", ,3,Wingert-Jones,4,
"Declaration, Ballade and Finale (A Suite in One Movement)","Huckeby, Ed",,4,Barnhouse,1,
Decoration Day,"Ives, Charles", ,5,Peer/Southern Organization,2,
Dedication Overture,"Giannini, Vittorio",,5,Belwin,4,
"Dedication, March and Celebration","Swearingen, James",,2,Barnhouse,1,
Dedicatory Overture,"Williams, Clifton", ,4,Hal Leonard ,6,
Deep Dish,"Stephenson, James",,3,American Composers Forum,1,
Deerpath Dances,"Holsinger, David",,3,TRN,2,
"Defenders of Truefire, The","Melillo, Stephen",,4,Stormworks,1,
Deidamia Suite,"Handel, G.F.",Barnes,3,Southern,1,
Deir’ in De,Anon. or Trad.,"Barker, Warren",3,Barnhouse,2,
Denbridge Way,"Swearingen, James",,3,Barnhouse,3,
Der Freischutz,"von Weber, Carl Maria ",Tobani-Kent,6,Carl Fischer,1,
Der Lehrmeister,"Sheldon, Robert",,4,Alfred,1,
Der Rosenkavalier Waltz Fantasia,"Strauss, Richard","Cailliet, Lucien",6,Boosey & Hawkes,2,OOP
"Der Traum des Oenghus Teil, Mvt. 1 (Dream of Oengus, The, Op. 37)","Rudin, Rolf", ,4,Edition Flor (Shattinger Music),3,
"Der Traum des Oenghus, Part 2","Rudin, Rolf",,5,Edition Flor (Shattinger Music),1,
Der Vogelhandler,Zeller,"Suzaki, Eiji",5,Bravo,1,
Derivations ,"Putz, Marco ",,6,Bronsheim,1,
"Designs, Images and Textures (Five Pieces for Concert Band)","Bassett, Leslie",,6,Carl Fischer,3,OOP
Devil Dance,"Kinyon, John",,2,Alfred,4,
Devonshire Overture,"Ployhar, James",,3,Belwin,2,
Diaghilev Dances,"Hesketh, Kenneth",,6,Alfred,3,
Dialogue and Fugue,Ward,,2,Kendor,1,
Dialogues,"Wagner, Douglas",,1,Belwin,1,
Dialogues and Entertainments,"Kraft, William",,6,Presser,2,
"Dialogues on ""In Dulci Jubilio""","Zdechlik, John",,5,Kjos,1,
Diamond Tide,"Cuong, Viet",,4,Self,4,
Diamond Variations,"Jager, Robert",,6,Belwin,3,OOP
Dichotomy,"White, Donald H.",,4,Shawnee,1,OOP
Dichterliebe,"Schumann, Robert","Koh, Chang Su",6,Bravo,1,
Dido and Aeneas,"Purcell, Henry",Walker,4,Kjos,1,
Die Fledermaus Overture,"Strauss, Johann","Cailliet, Lucien",6,Boosey & Hawkes,3,Rental
Die Fledermaus Overture,"Strauss, Johann","Kreines, Joseph",6,Kreines,1,
Die Meistersinger (excerpts),"Wagner, Richard","Osterling, Eric",4,LudwigMasters,3,
Die Meistersinger (Themes),"Wagner, Richard","Daehn, Larry",2,Daehn,1,
Die Meistersinger Prelude ,"Wagner, Richard","Hindsley, Mark",6,Hindsley Transcriptions,2,
"Die Meistersinger, Act III Excerpts","Wagner, Richard","Kreines, Joseph",6,Kreines,1,
"Die Meistersinger, Prelude to Act I","Wagner, Richard","Kreines, Joseph",6,Kreines,1,
"Die Meistersinger, Prelude to Act III","Wagner, Richard","Moses-Tobani, Theodore",6,Carl Fischer,2,OOP
Die Nacht,"Strauss, Richard","Davis, Albert O.",4,LudwigMasters,4,
Dier in De,"Barker, Warren",,3,Barnhouse,1,
Dies Irae,"Del Borgo, Elliot",,3,FJH,1,
Dies Natalis,"Hanson, Howard",,5,Carl Fischer,5,
Different Voices,"Kirby, Rick",,4,Boosey & Hawkes,2,
Dig Down Deep,"Mahr, Timothy",,4,Kjos,1,
Dillon's Flight,"Ford, Ralph",,4,Alfred,1,
Dimensions,"Ford, Ralph",,1,Alfred,2,
Dimensions of Seven,"Curnow, James",,3,Curnow,1,
Dinosaurs,"Bukvich, Daniel",,2,,2,
Dionysiaques,"Schmitt, Florent","Duker, Guy",6,Presser/Doran,4,
Diptych (Brass Quintet & Band),"Schuller, Gunther",,6,Associated,1,
Dirge for Band,"Starer, Robert",,4,LEE,1,OOP
Discover the Wild,Fuchs, ,4,Marks,1,
Discovery Overture,"McGinty, Anne",,1,Hal Leonard ,1,
Distant Horizons,"Sweeney, Michael", ,1,Hal Leonard ,1,
Divergents,"McBeth, W. Francis",,5,Southern,3,
Divertimented Dances (any 4 mvts.),"Holsinger, David",,6,TRN,1,
Divertimento,"Bernstein, Leonard","Grundman, Clare",6,Boosey & Hawkes,2,
Divertimento,"Hearshen, Ira",,6,Ludwig,3,
Divertimento,"Sheldon, Robert",,3,Volkwein Bros.,1,
Divertimento for Band,Kroeger,,5,Boosey & Hawkes,1,
"Divertimento for Band, Op. 42","Persichetti, Vincent", ,6,Presser,7,
Divertimento for Symphonic Winds and Percussion,"Husa, Karel","Boyd, John",5,Ludwig/E.C. Schirmer,4,
Divertimento for Wind Orchestra,"Feld, Jindrich", ,5,LudwigMasters,2,
Divertimento for Winds and Percussion,"Cichy, Roger",,5,Daehn,5,
Divertimento in F,"Stamp, Jack",,6,Kjos,2,
Divertissement No. 3 for Blue Lake,"White, Donald H.",,4,Ludwig,1,
Do Not Go Gentle Into That Good Night,"Del Borgo, Elliot", ,6,Hal Leonard,7,
Dodecaphonic Set,"Latham, William",,4,Barnhouse,1,
Dolce and Dance,"Fagan, G.", ,2,Alfred,1,
"Dolly, Op. 56","Fauré, Gabriel",Matsushiro,5,Bravo,1,
Dominion,"O'Loughlin, Sean",,1,Carl Fischer,1,
Dominion of the Sky,"Shaffer, David",,4,Barnhouse,1,
Don Juan,"Strauss, Richard","Hindsley, Mark",6,Hindsley Transcriptions,4,
Don Juan,"Strauss, Richard","Patterson, Merlin",6,Merlin Patterson,1,
"Don Quixote, Overture to","Telemann, Georg Philipp","Boyd, John",4,Belwin,1,
Don’t you See?  ,"Grantham, Donald",,6,Piquant,1,
Dona Nobis Pacem,"Sudduth, James", ,3,Southern,1,
Donegal Moors,"O'Loughlin, Sean",,3,Alfred/Belwin,1,OOP
Donna Diana Overture,Reznicek ,Meyers,6,Shawnee,1,POD
Dorian Chant,"Calhoun, Bill",,1,Carl Fischer,1,
Dorian Festival,"Erickson, Frank",,2,Alfred/Belwin,3,OOP
Dorian Landscapes,"Kopetz, Barry",,2,Wingert-Jones,2,
Dorian Overture,"Whitney, Maurice",,3,Boosey & Hawkes,2,OOP
Dots,"Huckeby, Ed",,3,,1,
Double Happiness,"Curiale, Joseph",,3,Arranger's Pub.,1,
Double Play,"McTee, Cindy",,6,Self ,2,
Down a Country Lane,"Copland, Aaron","Patterson, Merlin",3,Boosey & Hawkes,6,
Down by the Salley Gardens,"Copland, Aaron","Patterson, Merlin",3,Boosey & Hawkes,1,
Down by the Salley Gardens,"Danner, Greg",,2,,1,
Down by the Salley Gardens,"Sweeney, Michael",,2,Hal Leonard ,4,
Down by the Salley Gardens,Yeats,"Roszell, Patrick",1,Alfred,1,
Down in the Valley,"La Plante, Pierre",,3,Daehn,1,
Down Longford Way,"Grainger, Percy Aldridge","Osmon, Leroy",3,RBC,5,
Down to the River,"Sweeney, Michael",,1,Hal Leonard,1,
Down to the Sea in Ships (any 4 mvts.),"Gould, Morton",,5,Hal Leonard ,1,OOP
Downey Overture,"Navarro, Oscar",,5,Self,1,
"Downland Suite, A","Ireland, John",Steadman-Allen,3,Shawnee,1,
downside up,"Pitts, William",,5,Self,1,
Downtown Dash,"Daughtrey, Nathan",,2,C. Alan,3,
Downtown Divertimento  ,"de Meij, Johan",,4,,1,
Dragon Rhyme,"Yi, Chen",,6,,1,
"Dragoon's Farewell, The","Karrick, Brant",,2,Queenwood,2,
"Dragoons of Villars, The","Maillart, L.Aime","Barnes, Clifford",4,Ludwig,3,
Dramatic Episode,"Whitney, Maurice",,4,Bourne,1,
Dramatic Legend,"Del Borgo, Elliot",,3,William Allen,1,
"Dramatic Overture, Op. 60","Miaskovsky, Nikolai","Boyd, John",6,LudwigMasters,2,
Dramatic Prelude,"Smith, Claude T.",,4,Wingert-Jones,1,
Drammatico,"McBeth, W. Francis",,5,Southern,2,
Dreadnought,"Brooks, B.J.", ,6,Boosey & Hawkes,2,
"Dream Catcher, The","McBeth, W. Francis",,3,Southern,1,
"Dream Chasers, The","Spears, Jared",,4,LudwigMasters,1,
Dream Circus,"Deemer, Rob",,3,Self ,2,
"Dream Journey, Op. 98","Barnes, James", ,5,Southern,3,
"Dream of Coming Home, A","Carnahan, John Alan",,3,C. Alan,2,
"Dream Sequence, Op. 224","Krenek, Ernst",,6,,2,
Dreamcatcher,"Mays, Walter",,4,Self ,2,
Dreams and Fancies,"Broege, Timothy",,3,Hal Leonard,3,
Dreams and Proclamations,"Barrett, Roland",,4,FJH,1,
Dreams and Witches Sabbath,"Berlioz, Hector","Rogers, Mark",6,Southern,1,
Dreams of Flying,"Clark, Paul",,2,Barnhouse,1,
Dreams of the Moon,"Glossup, J.",,4,BAS,1,
Driftwood Patterns,"Work, Julian",,5,Shawnee ,1,OOP
"Drop of Rain, A","Hernandez, Adrian",,4,Self,1,
Drum Major's Daughter Overture,"Offenbach, Jacques","Odom, Lawrence",5,Kjos,3,
"Drums of the Blackhawk, The","Spears, Jared",,5,Kjos,2,
Drums of the Saamis,"Hazo, Samuel R.",,3,Hal Leonard,1,
"Drunken Sailor, The","Hull, Grant",,2,Wynn,1,
Dublin Dances,"Van der Roost, Jan",,4,De Haske,2,
Dublin Sketches,"Curnow, James",,5,Hal Leonard,2,OOP
Due North,"Sweeney, Michael",,2,Hal Leonard,1,
Dueling Dragons,"Smith, Robert W.",,1,Barnhouse,1,
Duende,"Alicon, Luis Serrano",,5,Piles Editorial de Musica,2,
"Duke of Bedford, The","Kopetz, Barry",,1,Hal Leonard ,1,OOP
Dum Spiro Spero,"Pilsner, Chris",,3,Nox Tenebrae,1,
Dunlap's Creek,"Read, G.",,5,Belwin,1,
Dusk,"Bryant, Steven", ,4,Hal Leonard/Gorilla Salad Prod. ,6,
Dybbuk Variations,"Snoeck, Kenneth",,5,Hal Leonard,1,
Dynamica,"Van der Roost, Jan",,5,De Haske,1,
Dynasty,"Nitsch, J.",,3,Grand Mesa,1,
Dystopis,"Coles, Jay",,2,C. Alan,1,
Eagle Mountain Overture,"Sheldon, Robert",,2,Barnhouse,2,
Eagle Ridge,"Williams, Mark",,2,Alfred,1,
"Eagle's Flight, The","Curnow, James",,5,Curnow,1,
Eaglecrest,"Barnes, James",,4,Southern,1,
Eagles Among Us,"Balmages, Brian",,2,FJH,1,
Eagles Awake!,"Saucedo, Richard",,2,Hal Leonard,1,
"Earl of Oxford's March, The","Byrd, William","Williams, Mark",3,Alfred,1,
"Earl of Salisbury, The (Pavane and Galliard)","Byrd, William","Frackenpohl, Arthur",3,Masters,1,
Early American Suite for Band,Corozine,,2,VCM,1,OOP
Early English Suite,"Duncombe, William & James Hook","Finlayson, Walter",2,Boosey & Hawkes,7,
Early Light,"Bremer, Carolyn", ,5,Carl Fischer,5,
Early One Morning ,"Stubbs, Duncan",,2,Southern/Studio Music,3,
"Early One Morning (from ""English Country Settings II"")","La Plante, Pierre",,3,Daehn,3,
Earth Song,"Ticheli, Frank", ,3,Manhattan Beach ,4,
"Earth, The (from ""The Planets"" by Trouvere)","Nagao, Jun",,5,Foster,1,
"Earth, Water, Sun, Wind","Sparke, Philip",,6,Anglo,1,
Earthdance,"Sweeney, Michael",,3,Hal Leonard,2,
"East of the Sun, West of the Moon","Prescott, John",,3,Wingert-Jones,1,
Eastern Intermezzo,"Grainger, Percy Aldridge",Warshaw,4,RBC,1,
"Echo Never Fades, The","Gillingham, David",,4,C. Alan,2,
Echoes,"Hazo, Samuel R. ",,5,Boosey & Hawkes,1,
Echoes from a Russian Cathedral,"Tchaikovsky, P.I. ","Singleton, Kenneth",2,Grand Mesa,2,
Echoes of Ireland,"Swearingen, James",,2,Carl Fischer,1,
Echoes of the Hollow Square,"Vinson, Johnnie",,4,MusicWorks,1,
Eclipsys,"O'Loughlin, Sean",,1,Carl Fischer,1,
Ecossaise for Military Band,"Beethoven, Ludwig van","Stalter, Todd",1,Alfred,1,
Ecstatic Fanfare,"Bryant, Steven",,4,Hal Leonard,1,
Ecstatic Waters,"Bryant, Steven",,5,Hal Leonard,2,
Edgemont Festival Overture,"Strommen, Carl",,3,Carl Fischer,1,
Egmont Overture,"Beethoven, Ludwig van","Hindsley, Mark",5,Hindsley Transcriptions,2,
Egmont Overture,"Beethoven, Ludwig van","Kreines, Joseph",5,Kreines,1,
Egmont Overture,"Beethoven, Ludwig van","Moses-Tobani, Theodore",5,Carl Fischer/Ludwig,2,
Egmont Overture,"Beethoven, Ludwig van",Page,5,Presser,1,OOP
Egmont Overture,"Beethoven, Ludwig van","Winterbottom, Frank",5,Boosey & Hawkes,2,OOP
Egyptique,"Owens, William",,2,FJH,2,
Eiger: A Journey to the Summit,"Swearingen, James",,3,Barnhouse,1,
Eight Russian Folk Songs (any 3 mvts. of part 1),"Liadov, Anatol Konstantinovich ","Goldman, Richard",4,Masters,1,
Eight Russian Folk Songs (part 2),"Liadov, Anatol Konstantinovich ","Goldman, Richard",5,Belwin,1,OOP
"Eighth Candle, The","Reisteter, Steven",,5,Arranger's Pub.,1,
"Ein Heldenleben, Op. 40","Strauss, Richard","Harding, Albert",6,Kjos,1,
"Ein Heldenleben, Op. 40","Strauss, Richard","Hindsley, Mark",6,Hindsley Transcriptions,1,
Ein Nachtmusik fur Erlkonig (A Night Music for Erlking),"Goto, Yo",,4,Bravo,1,
El Camino Real,"Reed, Alfred","Longfield, Robert",4,Hal Leonard,3,
El Camino Real ,"Reed, Alfred",,5,Hal Leonard,3,
El Chocio (Argentine Tango),Villoldo,"Longfield, Robert",3,Barnhouse,1,
El Muro,"Lorenz, Ricardo",,6,Self ,2,
El Palo Alto,"Milford, Gene",,2,Carl Fischer,1,
El rey de Fransia,Anon. or Trad. ,"Sheldon, Robert",2,FJH,1,
El Salon Mexico,"Copland, Aaron","Hindsley, Mark",6,Boosey & Hawkes/G. Schirmer,7,
Electricity,"Balmages, Brian",,2,FJH,1,
Elegy,"Camphouse, Mark",,6,TRN,2,
Elegy,"Chance, John Barnes", ,5,Boosey & Hawkes,6,
Elegy,"Corigliano, John",,4,G. Schirmer,1,
Elegy,"Mendelssohn, Felix","Erickson, Frank",3,Belwin,2,
Elegy,"Shelton, Melvin",,4,Hal Leonard ,1,
Elegy and Fanfare - March,"Nixon, Roger", ,5,Carl Fischer,3,OOP
Elegy for a Young American,"Lo Presti, Ronald", ,4,Hal Leonard/Presser,7,
Elegy for Albinoni,"Hansen, Shelley",,4,Hal Leonard ,2,
"Elegy, Prayer and Hymn","Camphouse, Mark",,5,Kjos,1,
Elements (Petite Symphony),"Balmages, Brian",,4,FJH,2,
Elixir,"Markowski, Michael",,4,Self,1,
Elizabeth Motet,"Byrd, William","Forsblad, Leland & Wayne Livingston ",2,Alfred/Belwin,1,OOP
Elizabethan Dance,"Williams, Mark", ,1,Alfred,1,
Elizabethan Songbook  ,"McGinty, Anne",,1,Queenwood,1,
Elizabethan Suite,"Gordon, Philip",,2,Hal Leonard/Warner,4,OOP
Ellan Vannin Suite,"Wagner, Douglas",,1,Belwin,1,
Eloi Eloi,"Walczyk, Kevin",,4,Keveli,1,
Els Pecats Capitals,"Ferran, Ferrer",,6,Piles,1,
"Elsa's Procession to the Cathedral (from ""Lohengrin"")","Wagner, Richard","Bocook, Jay",3,Hal Leonard,1,
"Elsa's Procession to the Cathedral (from ""Lohengrin"")","Wagner, Richard","Cailliet, Lucien/Merlin Patterson",5,Belwin/Warner Bros.,7,
"Elsa's Procession to the Cathedral (from ""Lohengrin"")","Wagner, Richard","HIndsley, Mark",5,Warner Bros.,1,
Emblems,"Copland, Aaron", ,6,Boosey & Hawkes,7,
Emerald Bay,"Gruner, G.",,1,FJH,1,
"Emerald Isle, The","Black, Dave",,3,Alfred,2,
Emerald Suite,"Milburn, Dwayne",,4,Ludwig,2,
Emmanuel Variants,"Foster, Robert E.",,5,Wingert-Jones,1,
Emory's Barcarolle for Band,"Puckett, Joel",,4,Bill Holab,1,
Emperata Overture,"Smith, Claude T.",,4,Wingert-Jones,4,
Encanto,"Smith, Robert W.",,3,Hal Leonard,2,
Enchanted Island,"Rouse, Steve", ,2,Manhattan Beach ,3,
Enchanted Spaces,"Hazo, Samuel R. ",,4,Hal Leonard ,1,
"Enchanted Wizard, The","O'Reilly, John",,1,Alfred,1,
Enconium,"McGinty, Anne",,3,Hal Leonard,2,
Endless Rainbows,"Balmages, Brian",,2,FJH,2,
Endurance,"Mahr, Timothy",,5,Kjos,2,
Engelberg Variations,"Harbinson, William G. ",,4,Alfred,1,
England: Three Folk Songs,"McGinty, Anne",,2,Queenwood,1,
English Country Settings,"La Plante, Pierre", ,4,Daehn,3,
"English Dances, Set 1","Arnold, Malcom","Johnstone, Maurice",5,Belwin/Lengnick,6,OOP
"English Dances, Set 2","Arnold, Malcom",Herbert,5,Belwin/Lengnick,4,
English Folk Rhapsody,"McGinty, Anne",,2,Queenwood,1,OOP
"English Folk Setting, An",Anon. or Trad.,"Edmonson, John",2,Kjos/Queenwood,2,
English Folk Song Fantasy,"Erickson, Frank",,2,Alfred,2,
English Folk Song Suite,"Vaughan Williams, Ralph", ,5,Boosey & Hawkes,7,
English Folk Suite,"Del Borgo, Elliot", ,1,Hal Leonard ,1,
English Folk Trilogy,"McGinty, Anne",,1,Queenwood,1,
English Masters Suite,"Purcell, Croft & Laes","Gordon, Philip",3,Hal Leonard,3,OOP
"English Sea Song Suite, A","Sparke, Philip",,3,Anglo,1,
English Suite,"Grundman, Clare",,3,Boosey & Hawkes,3,
English Suite for Band,"Golemo, Michael", ,3,Daehn,2,
English Waltz,"Grainger, Percy Aldridge","Rogers, Mark",5,Southern,2,
Engram,Druckman,,6,Boosey & Hawkes,1,
"Engulfed Cathedral, The","Debussy, Claude","Longfield, Robert",5,Barnhouse,1,
"Engulfed Cathedral, The","Debussy, Claude","Patterson, Merlin",5,Manhattan Beach/Shawnee ,4,
"Enigma Variations, Op. 36","Elgar, Edward","Slocum, Earl",6,TRN,6,
"Enigma Variations, Op. 36 (play at least theme & variations 1, 4, 5, 9, 11, & 14)","Elgar, Edward","Patterson, Merlin",6,Merlin Patterson,2,
Enigmatic Variations,"Osmon, Leroy", ,3,RBC,1,
Entrance of the Tall Ships ,"Swearingen, James",,2,Barnhouse,1,
Entry of the Gods into Valhalla,"Wagner, Richard",O'Neill,6,Carl Fischer,2,OOP
Epinicion,"Paulson, John", ,4,Kjos,5,
Epiphanies,Nelson ,,6,Ludwig,1,
Episode for Band,"Kinyon, John",,3,Alfred,1,
Equilibrium,"Oare, Michael",,3,Hal Leonard,3,
Equinox,"Sweeney, Michael",,2,Hal Leonard,1,
Equus,"Morales, Erik",,1,FJH,1,
Equus,"Whitacre, Eric", ,6,Hal Leonard/Boosey & Hawkes ,2,
Ere the World Began to Be...,"Stamp, Jack",,3,Daehn,3,
Escapade,"Spaniola, Joseph",,5,Musica Propria,2,
Escapade,"Stamp, Jack",,5,Kjos,3,
Escapade at Twilight,"Kamuf, Michael",,2,Hal Leonard,1,
Escape from Ba-Taan!,"DeMott, C.",,3,Stormworks,1,
Escape from Chronopolis,"Clark, Reber",,3,C. Alan,2,
Escape from Plato's Cave,"Melillo, Stephen",,6,Stormworks,2,
Escape from the Deep,"Balmages, Brian",,3,FJH,2,
