Title,Composer,Arranger,Grade
Overture on an American Folk Tune,"Akey, D.",,3.0
See the Conquering Hero Comes,"Handel, G.",,1.0
Tokyo 2000,"J., O.",,3.0
Alleluias,Spears,,3.0
Convergence,"Clarke, L.",,3.0
Marche Militaire,"Saint-Saens, C.",,2.0
Danza Sonora,"C.T., S.",,4.0
Heatherwood Portrait,"Barnes, J.",,2.0
Prelude and Fugue,"Bach, J.",,2.0
Rondo for Winds & Percussion,Edmondson,,2.0
Basque Rhapsody,"Shelton, M.",,5.0
Inscriptions for Band,"C.T., S.",,4.0
Mosaic,"Mcbeth, W.",,5.0
Nilesdance,Holsinger,,4.0
Prelude & March,Margolis,,1.0
Introduction and Fugato,"C.T., S.",,4.0
Sonus Ventorum,"Smith, C.",,3.0
Fanfare March and Celebration,"Cacavas, J.",,4.0
Burlesque,Salnikov,,6.0
Sunride (from Western Suite),"Chattaway, J.",,1.0
Dramatic Essay,"Del Borgo, E.",,4.0
Chorale and Toccata,Jager,,4.0
Blanco Canyon Sketches,"Suddeth, J.",,4.0
Reflections,Daniels,,5.0
Triumphal March from Aida,"Verdi, G.",,3.0
Phoenix Overture,"Curnow, J.",,3.0
Prelude and Capriccio,"Reed, A.",,5.0
Hymn and Alleluia,Curnow,,2.0
Coriolan Overture,"Beethoven, L.",,5.0
March With Trumpets,"Bergsma, W.",,5.0
"Northern Legend, The","Reed, A.",,5.0
Dies Irae,"Borgo, D.",,3.0
Prelude in Dorian Mode,Decabezon,,5.0
"Almighty Fortress, An",Shaffer,,2.0
New River Suite,Spears,,4.0
Jargon,"Tull, F.",,5.0
Viva Mexico! (Omit 3rd Mvt.),"Morrissey, J.",,5.0
Blue Ridge Rhapsody,"Swearingen, J.",,3.0
Panorama for Band,"Mitchell, R.",,4.0
Concert Dance and Intermezzo,"Smith, C.",,4.0
Caccia,Mcbeth,,4.0
Passacaglia in G Minor,Handel,Phillips,2.0
Lyric Essay,"Coakley, D.",,3.0
Anasazi,"John, E.",,1.0
Antietam,Whear,,4.0
Prairie Dance,"Holsinger, D.",,4.0
Festivity!,"Miller, R.",,2.0
Chant Rituals,"Borgo, D.",,1.0
Arabesque,"Shaffer, D.",,3.0
Evening Prayer,"Shaffer, D.",,2.0
Signature,"Roost, V.",,4.0
Prelude and Primal Danse,Huckeby,,3.0
Jubilant Prelude,"C.T., S.",,4.0
Serenade and Dances,"Suddeth, J.",,4.0
Caprice,"Hines, W.",,2.0
Pie Jesu,Faure,,3.0
American Folk Suite,Walters,,3.0
Symphonic Essay,"Borgo, D.",,4.0
Concerto for Band,Soler,Gordon,3.0
Rhapsody for Band,"Del Borgo, E.",,4.0
Overture in Italian Style,"Schubert, F.",,4.0
Marco Polo,Scarmolin,,4.0
La Folia (Variations),"Corelli, A.",,4.0
Juxtaposition,"Barker, W.",,4.0
Past the Equinox,"Stamp, J.",,4.0
Prelude to Comedy,"Jacob, G.",,4.0
Fox River Festival,"Curnow, J.",,4.0
Overture to Freedom,"Gingery, R.",,1.0
Heroic Saga,"Jager, R.",,5.0
Fete,"Hermann, R.",,4.0
Medieval Fresco,"Morrissey, J.",,3.0
Intrada for Band,Washburn,,4.0
Expositions,"Leckrone, M.",,4.0
Symphonic Allegory,"Forsblad, L.",,4.0
Song for Lindsay,"Boysen, J.",,4.0
Channel Island Overture,Feldstein,,1.0
Change of Pace,"O'Reilly, J.",,1.0
Westminster Bridge,"Del Borgo, E.",,4.0
Two Russian Songs,"Gates, G.",,4.0
Chorale and Invention,Feldstein,O'Reilly,1.0
Panorama Festival Overture,"Williams, M.",,3.0
Nordic Overture,"Osterling, E.",,3.0
Renaissance Triptych,"Kirck, G.",,3.0
"Good Daughter Overture, The","Piccini, N.",,3.0
